Yer,Puan,Şehir,KullanıcıSayısı,Kategori,Mevsim
Gezilecek Yer 1,4.1,Antalya,18481,Plaj,Sonbahar
Gezilecek Yer 2,4.9,Muğla,122,Restoran,Kış
Gezilecek Yer 3,4.0,Bursa,30652,Park,Kış
Gezilecek Yer 4,4.2,Ankara,39299,Restoran,Bahar
Gezilecek Yer 5,4.9,İstanbul,4402,Restoran,Sonbahar
Gezilecek Yer 6,4.2,Ankara,2808,Restoran,Kış
Gezilecek Yer 7,3.6,Muğla,4363,Restoran,Sonbahar
Gezilecek Yer 8,4.2,Konya,15170,Restoran,Bahar
Gezilecek Yer 9,4.0,Antalya,45866,Park,Sonbahar
Gezilecek Yer 10,3.5,Muğla,23975,Müze,Kış
Gezilecek Yer 11,4.0,Muğla,8916,Tarihi Yer,Yaz
Gezilecek Yer 12,4.0,Trabzon,15452,Park,Kış
Gezilecek Yer 13,4.4,Bursa,48573,Plaj,Kış
Gezilecek Yer 14,4.7,Konya,47648,Park,Sonbahar
Gezilecek Yer 15,4.0,İstanbul,52440,Tarihi Yer,Kış
Gezilecek Yer 16,4.1,Antalya,57930,Tarihi Yer,Yaz
Gezilecek Yer 17,3.8,Trabzon,24724,Plaj,Sonbahar
Gezilecek Yer 18,3.6,İzmir,34784,Restoran,Kış
Gezilecek Yer 19,4.4,Adana,5755,Tarihi Yer,Yaz
Gezilecek Yer 20,4.3,İzmir,59479,Tarihi Yer,Yaz
Gezilecek Yer 21,3.6,Trabzon,59986,Müze,Sonbahar
Gezilecek Yer 22,3.6,Trabzon,57105,Park,Kış
Gezilecek Yer 23,4.9,Adana,41264,Tarihi Yer,Yaz
Gezilecek Yer 24,4.4,Konya,6584,Tarihi Yer,Bahar
Gezilecek Yer 25,3.5,Adana,30001,Restoran,Bahar
Gezilecek Yer 26,4.2,Muğla,42990,Restoran,Bahar
Gezilecek Yer 27,5.0,Konya,57176,Park,Sonbahar
Gezilecek Yer 28,4.2,Antalya,18083,Tarihi Yer,Sonbahar
Gezilecek Yer 29,4.2,İzmir,32394,Müze,Sonbahar
Gezilecek Yer 30,4.9,Adana,31635,Müze,Kış
Gezilecek Yer 31,3.6,Bursa,6992,Tarihi Yer,Yaz
Gezilecek Yer 32,4.4,İstanbul,43511,Park,Yaz
Gezilecek Yer 33,3.5,Muğla,18629,Restoran,Sonbahar
Gezilecek Yer 34,3.7,İstanbul,22914,Plaj,Yaz
Gezilecek Yer 35,4.0,Bursa,27534,Tarihi Yer,Bahar
Gezilecek Yer 36,5.0,Muğla,20802,Plaj,Sonbahar
Gezilecek Yer 37,3.9,İzmir,14700,Tarihi Yer,Bahar
Gezilecek Yer 38,3.6,Bursa,28809,Restoran,Yaz
Gezilecek Yer 39,4.7,İstanbul,58400,Tarihi Yer,Bahar
Gezilecek Yer 40,4.6,Muğla,38758,Park,Kış
Gezilecek Yer 41,4.4,Ankara,42861,Restoran,Sonbahar
Gezilecek Yer 42,4.0,Antalya,4278,Müze,Bahar
Gezilecek Yer 43,3.6,İzmir,26922,Tarihi Yer,Yaz
Gezilecek Yer 44,4.8,Adana,42023,Park,Bahar
Gezilecek Yer 45,4.9,Trabzon,34927,Plaj,Kış
Gezilecek Yer 46,4.3,Muğla,46652,Park,Kış
Gezilecek Yer 47,3.9,Konya,57727,Restoran,Kış
Gezilecek Yer 48,4.2,Bursa,59154,Tarihi Yer,Sonbahar
Gezilecek Yer 49,4.1,İstanbul,20085,Plaj,Yaz
Gezilecek Yer 50,3.7,Muğla,39711,Park,Yaz
Gezilecek Yer 51,4.4,Bodrum,56199,Müze,Bahar
Gezilecek Yer 52,4.8,Adana,50809,Park,Kış
Gezilecek Yer 53,3.8,Ankara,41454,Tarihi Yer,Bahar
Gezilecek Yer 54,4.2,Trabzon,41399,Restoran,Kış
Gezilecek Yer 55,3.5,Konya,6041,Müze,Yaz
Gezilecek Yer 56,4.8,Bursa,21453,Plaj,Kış
Gezilecek Yer 57,3.8,Antalya,21319,Plaj,Yaz
Gezilecek Yer 58,4.4,Ankara,46208,Plaj,Yaz
Gezilecek Yer 59,3.6,Ankara,41351,Park,Kış
Gezilecek Yer 60,3.8,Ankara,53213,Müze,Yaz
Gezilecek Yer 61,4.1,Trabzon,2742,Park,Kış
Gezilecek Yer 62,4.9,Antalya,33478,Park,Yaz
Gezilecek Yer 63,4.3,Adana,15116,Tarihi Yer,Sonbahar
Gezilecek Yer 64,3.7,Adana,37057,Tarihi Yer,Sonbahar
Gezilecek Yer 65,3.8,Antalya,41338,Park,Sonbahar
Gezilecek Yer 66,4.0,İzmir,20639,Park,Bahar
Gezilecek Yer 67,4.3,Trabzon,22379,Müze,Sonbahar
Gezilecek Yer 68,4.4,Adana,5469,Park,Bahar
Gezilecek Yer 69,4.5,Muğla,1857,Restoran,Bahar
Gezilecek Yer 70,4.1,Trabzon,17581,Restoran,Kış
Gezilecek Yer 71,4.7,Bursa,33482,Plaj,Yaz
Gezilecek Yer 72,3.6,Bursa,43001,Müze,Kış
Gezilecek Yer 73,3.6,Konya,31935,Tarihi Yer,Bahar
Gezilecek Yer 74,4.9,Muğla,35735,Park,Bahar
Gezilecek Yer 75,4.5,Ankara,766,Plaj,Bahar
Gezilecek Yer 76,3.9,Ankara,17209,Tarihi Yer,Yaz
Gezilecek Yer 77,3.8,İzmir,1638,Müze,Kış
Gezilecek Yer 78,4.0,Trabzon,37459,Restoran,Bahar
Gezilecek Yer 79,4.7,Adana,25641,Plaj,Bahar
Gezilecek Yer 80,3.5,Trabzon,3463,Müze,Kış
Gezilecek Yer 81,4.2,İzmir,34214,Müze,Sonbahar
Gezilecek Yer 82,4.8,İstanbul,44384,Tarihi Yer,Sonbahar
Gezilecek Yer 83,3.8,Adana,16273,Tarihi Yer,Kış
Gezilecek Yer 84,4.6,Antalya,46293,Restoran,Sonbahar
Gezilecek Yer 85,4.1,Adana,49103,Restoran,Bahar
Gezilecek Yer 86,4.6,Adana,2437,Restoran,Kış
Gezilecek Yer 87,3.8,Konya,16206,Tarihi Yer,Yaz
Gezilecek Yer 88,3.6,İzmir,56883,Restoran,Bahar
Gezilecek Yer 89,3.6,Konya,32779,Park,Bahar
Gezilecek Yer 90,4.3,Muğla,27211,Müze,Yaz
Gezilecek Yer 91,4.7,Adana,38021,Plaj,Bahar
Gezilecek Yer 92,3.8,Trabzon,3157,Restoran,Bahar
Gezilecek Yer 93,4.3,Antalya,38226,Müze,Yaz
Gezilecek Yer 94,3.7,Antalya,11597,Restoran,Kış
Gezilecek Yer 95,4.3,Bodrum,52018,Park,Sonbahar
Gezilecek Yer 96,4.3,Adana,13779,Restoran,Yaz
Gezilecek Yer 97,3.5,İzmir,56752,Park,Kış
Gezilecek Yer 98,3.6,Adana,41449,Tarihi Yer,Sonbahar
Gezilecek Yer 99,3.6,Antalya,44557,Park,Sonbahar
Gezilecek Yer 100,4.4,Bodrum,31305,Restoran,Bahar
Gezilecek Yer 101,3.9,Trabzon,1428,Park,Kış
Gezilecek Yer 102,4.4,Adana,528,Restoran,Yaz
Gezilecek Yer 103,3.6,Muğla,30146,Plaj,Bahar
Gezilecek Yer 104,4.9,İstanbul,32920,Müze,Bahar
Gezilecek Yer 105,3.7,Adana,54958,Müze,Sonbahar
